"x.start","x.end","y.start","y.end","avg_log_p_value","RSS","r_squared","nb_points","leftmost","segment.squared_length","slope","loss","is_best","relative_segment_squared_length","linearity","relative_linearity","n","n_breakpoints"
-1.9,-1.27490828705157,-0.451278,-0.480269753646548,-12.6849941783853,1.75602950765167e-05,0.982374661775,13,1,0.391580171376302,-0.04638,0.3348011044,0,1,1.75386254027461,0.75661440937168,3162,1
-1.27490828705157,-0.8,-0.480342415119467,-0.66114,-12.731629919184,0.000144412479363928,0.995192050458611,10,2,0.258225647808892,-0.3807,0.05968249,1,0.659445157555593,2.31804009882799,1,3162,1
-1.9,-1.47752080856839,-0.452472,-0.468999385968805,-12.6583972761958,1.10623912092053e-07,0.999518261920364,9,1,0.178761821679668,-0.03912,0.3432553744,0,0.721712159288175,3.31718902293591,1,3162,2
-1.47752080856839,-1.26512045032377,-0.468998379666558,-0.484006588980123,-12.7448372083116,5.81853984198639e-08,0.999068518355831,4,2,0.0453391585292443,-0.07066,0.3072928356,0,0.183047038204196,3.03082569891547,0.913672895321776,3162,2
-1.26512045032377,-0.8,-0.484068644561742,-0.66114,-12.731629919184,0.000144412479363928,0.995192050458611,10,3,0.247691298226125,-0.3807,0.05968249,0,1,2.31804009882799,0.698796505957441,3162,2
-1.7,-1.11343051996008,-0.0371100000000002,-0.46630288854521,-0.673938968703175,0.000485814336971855,0.997468328662106,12,1,0.528270290492084,-0.7317,0.000334889999999999,1,1,2.59659267519639,1,3162,1
-1.11343051996008,-0.8,-0.466252488006587,-0.58078,-0.482780089767671,2.58232816210379e-05,0.9972441665228,7,2,0.111355241845847,-0.3654,0.14791716,0,0.210792171829537,2.55974702846182,0.985810001281087,3162,1
-1.7,-1.44556542971819,-0.0455600000000003,-0.214301007010896,-0.641801613672341,3.88136202397199e-05,0.997982741236444,6,1,0.0932104780015399,-0.6632,0.00753424,0,0.597504907874624,2.69523838915638,1,3162,2
-1.44556542971819,-1.13521917794236,-0.214050893725841,-0.458355463123776,-0.706076323734009,0.000104304735667449,0.996161265803646,6,2,0.155999518620019,-0.7872,0.00138384,0,1,2.41581195848775,0.896325893919871,3162,2
-1.13521917794236,-0.8,-0.458431478133245,-0.58082,-0.482780089767671,2.58232816210379e-05,0.9972441665228,7,3,0.12735084754508,-0.3651,0.14814801,0,0.816354105907718,2.55974702846182,0.949729359287965,3162,2
-1.35,-1.08095228899251,-0.40192,-0.478006692672917,-0.223702893599685,6.87404089012969e-06,0.998038841200759,6,1,0.0781758556002698,-0.2828,0.00107584,0,0.954363254458114,2.70748723915121,0.817719510134584,10000,1
-1.08095228899251,-0.8,-0.477970970248754,-0.53256,-0.213551151307818,8.07309084515673e-07,0.999511372326577,6,2,0.0819141508593161,-0.1943,0.00310249,0,1,3.31102194040301,1,10000,1
-1.35,-1.29513818637553,-0.4033,-0.416357111642624,-0.363697666429458,0,1,2,1,0.00318030675861391,-0.238,0.000144,1,0.0386278302352203,Inf,NA,10000,2
-1.29513818637553,-1.08175726895567,-0.416368953588371,-0.478206743456647,-0.153705507184799,5.87782912468017e-09,0.999994093471986,4,2,0.0493553281747347,-0.2898,0.00158404,0,0.599467090013718,5.22866773187585,0,10000,2
-1.08175726895567,-0.8,-0.478153549999138,-0.53242,-0.213551151307818,8.07309084515673e-07,0.999511372326577,6,3,0.0823320062050534,-0.1926,0.00329476,0,1,3.31102194040301,0,10000,2
-3.35,-1.22627988338637,-0.4906005,-0.605217674693638,-13.0091356386974,0.00163714138267939,0.967156741296693,43,1,4.52332423044417,-0.05397,0.3260752609,0,1,1.48355375877999,0.807621954256253,3162,1
-1.22627988338637,-0.8,-0.605384566762371,-0.74708,-14.6711691157291,0.00024464488434603,0.985443426739826,9,2,0.201792134780294,-0.3324,0.08561476,0,0.0446114681371136,1.83694084956644,1,3162,1
-3.35,-1.9295096867231,-0.497804,-0.557123675482443,-12.3981670273394,2.34916126994618e-05,0.997352604180314,29,1,2.02131155401285,-0.04176,0.3401688976,0,1,2.57718112123967,0.9085848559551,3162,2
-1.9295096867231,-1.127721269529,-0.557079552830128,-0.630098423983994,-14.4050877899148,1.02876239117352e-05,0.998542791093192,16,2,0.648196421491193,-0.09107,0.2850812449,0,0.320681104406862,2.83647818291067,1,3162,2
-1.127721269529,-0.8,-0.630434712178562,-0.7512,-14.4864437248672,2.89266489429595e-05,0.996966381778299,7,3,0.121985485244298,-0.3685,0.06579225,1,0.0603496699962572,2.51803907570533,0.887734335795747,3162,2
-1.95,-1.26384169124868,0.204585,-0.371993826843737,-0.538861339185938,0.000779275071565351,0.998063526421202,14,1,0.803256368232975,-0.8403,0.00815409000000001,0,1,2.71298842414168,1,10000,1
-1.26384169124868,-0.8,-0.371432322615586,-0.62084,-0.391733278512866,0.000340921533433853,0.994314990080674,10,2,0.277353304078721,-0.5377,0.04507129,0,0.345286156509223,2.24526877320934,0.827599835380679,10000,1
-1.95,-1.70663750168983,0.218185,-0.0125956571475334,-0.445888200851761,6.05835106983119e-05,0.997312539137088,5,1,0.112485017297214,-0.9483,0.03932289,0,0.24933024734883,2.57065785159543,0.789086264836083,10000,2
-1.70663750168983,-1.17743028354314,-0.0120921286792284,-0.425720490382683,-0.550708369159116,9.28486907056589e-05,0.999447624127089,11,2,0.451148701344045,-0.7816,0.000998559999999998,1,1,3.25776529912028,1,10000,2
-1.17743028354314,-0.8,-0.426220276527172,-0.6172,-0.39676980859034,0.000116340775158917,0.995691001539635,8,3,0.178926873713211,-0.506,0.059536,0,0.396602878785108,2.36562366108801,0.726149198570816,10000,2
-2.95,-2.47524412071367,0.42911,0.291525746182822,-5.42366482702631,0.000245895190206782,0.986005692021875,10,1,0.244322571815364,-0.2898,0.21178404,0,0.0659859254070607,1.85404857263281,0.72816029626916,31622,1
-2.47524412071367,-0.8,0.291760452615296,-0.65492,-0.957421282956257,0.00744991172481446,0.99715690988535,34,2,3.70264674334962,-0.5651,0.03418801,0,1,2.54620937468344,1,31622,1
-2.95,-2.41192556328797,0.43123,0.26797821590157,-5.1848545548036,0.000397325226999552,0.98454451010836,11,1,0.316175244454288,-0.3034,0.19945156,0,0.141755579265541,1.81091722457906,0.644715418721091,31622,2
-2.41192556328797,-1.12497824673483,0.268141771663957,-0.489612808322535,-1.05204497201738,0.00197164187617841,0.998447122869787,26,2,2.23042539907385,-0.5888,0.02598544,1,1,2.80886290601105,1,31622,2
-1.12497824673483,-0.8,-0.489808527279949,-0.6172,-0.343200359354914,3.90475787152721e-05,0.996383080699321,7,3,0.121839448172624,-0.392,0.128164,0,0.0546261032640754,2.4416611809428,0.869270328472625,31622,2
-2.85,-1.49459908604865,-0.3839245,-0.442789561692907,-4.05515972326652,0.000215170810105521,0.975807761647158,28,1,1.84057673302827,-0.04343,0.3382236649,0,1,1.61632394729272,0.76964182316487,31622,1
-1.49459908604865,-0.8,-0.4428263605986,-0.67128,-15.0428908802692,0.00049465256671078,0.992058526361494,14,2,0.53465895569536,-0.3289,0.08767521,0,0.290484469406333,2.10009890139049,1,31622,1
-2.85,-1.53585292804458,-0.38457,-0.439501347607736,-3.45195293339846,0.000163646627132593,0.978304481565405,27,1,1.72999997967899,-0.0418,0.34012224,0,1,1.66362996754014,0.500461148819639,31622,2
-1.53585292804458,-0.993108344851612,-0.439552456767808,-0.59770822831024,-19.149548085643,1.77082456965896e-05,0.999261639823939,11,2,0.319584930657496,-0.2914,0.11128896,0,0.184731175960358,3.1317317353074,0.942102566452507,31622,2
-0.993108344851612,-0.8,-0.5972791915203,-0.68356,-5.07429660784999,1.16193342248375e-06,0.999525969854354,4,3,0.0447352107632399,-0.4468,0.03175524,1,0.0258585036350929,3.32419403876581,1,31622,2
-1.35,-0.908166535279426,-0.445475,-0.502692433681314,-0.571944512191475,7.01943465545605e-05,0.972813040884331,9,1,0.198490645264061,-0.1295,0.01452025,0,1,1.56563936590053,0.598914462898003,10000,1
-0.908166535279426,-0.8,-0.502675780153372,-0.5275,-0.28527711796283,6.37924657671951e-07,0.99756851552448,3,2,0.0123162412453491,-0.2295,0.00042025,1,0.062049479606277,2.61412849895923,1,10000,1
-1.35,-1.21976123613762,-0.44065,-0.467348946591788,-1.06181698341412,6.41387069080353e-07,0.996955335467164,3,1,0.0176749693615114,-0.205,0.002025,0,0.260491685082353,2.51646055182068,1,10000,2
-1.21976123613762,-0.960501782173429,-0.467268441274364,-0.492504756523238,-0.383973655919828,2.17408697933458e-06,0.990908481874768,5,2,0.0678523360771517,-0.09734,0.0233050756,0,1,2.04136359110573,0.811204288352059,10000,2
-0.960501782173429,-0.8,-0.492507916119843,-0.52708,-0.224503183442569,2.12944384096236e-06,0.996342113093836,4,3,0.0269560510646635,-0.2154,0.00119716,0,0.397275210009174,2.43676972608439,0.9683321776379,10000,2
-1.25,-0.963239439695428,-0.434825,-0.502701224624092,-0.246892473799969,1.3538811660233e-06,0.999448083163104,6,1,0.0868388008154125,-0.2367,0.00017689,0,1,3.25812635704979,1,10000,1
-0.963239439695428,-0.8,-0.502640393785503,-0.53346,-0.224094076266664,1.03437104385211e-06,0.997683118600213,4,2,0.0275969627992938,-0.1888,0.00374544,0,0.317795300489638,2.6350961969983,0.808776550761023,10000,1
-1.25,-1.12163365651174,-0.435375,-0.464347283725301,-0.409996436217676,9.31833968538706e-08,0.999634921773366,3,1,0.0173173113648058,-0.2257,0.000590489999999999,0,0.501989034385187,3.43761406772031,0.700259471661792,10000,2
-1.12163365651174,-0.982493724118925,-0.464313219528577,-0.498959062694388,-0.0837885113822615,3.80088224640601e-09,0.999987670586461,3,2,0.0205602552349464,-0.249,1e-06,1,0.595994519858279,4.90905758056007,1,10000,2
-0.982493724118925,-0.8,-0.499013938024288,-0.53356,-0.224094076266664,1.03437104385211e-06,0.997683118600213,4,3,0.0344973897408242,-0.1893,0.00368449,0,1,2.6350961969983,0.536782499238411,10000,2
-2.4,-1.86798270658078,0.3142,-0.259314642305922,-0.688629938025641,0.00416227628372538,0.987168772857175,11,1,0.611961445436404,-1.078,1000000.685584,0,0.493605121644459,1.8917318069242,1,31622,1
-1.86798270658078,-0.8,-0.258431899829329,-0.57338,-0.479453948121263,0.0100834493673026,0.950284672522781,22,2,1.23977936735672,-0.2949,0.00201601,0,1,1.3035096955215,0.689056287339638,31622,1
-2.4,-2.06684355864905,0.3366,-0.0811781774540896,-0.87650268468042,0.000270465516417361,0.997549918736375,7,1,0.285531819970489,-1.254,1000001.008016,0,0.46555702255658,2.61081951083595,1,31622,2
-2.06684355864905,-1.56448102103799,-0.0804804960988394,-0.381998491172999,-0.358070158149612,0.000386185303406089,0.994827933524767,10,2,0.343281220548567,-0.6002,0.12264004,0,0.559716892340397,2.2863359018811,0.875715802027636,31622,2
