"dataset_id","x.start","x.end","y.start","y.end","avg_log_p_value","RSS","r_squared","nb_points","leftmost","segment.squared_length","slope","loss","is_best","relative_segment_squared_length","linearity","relative_linearity","n","n_breakpoints","true_gamma"
1,-3.2,-1.17323284785524,-0.463896,-0.583921150750013,-8.46354184890524,0.00131674545584895,0.974498011745766,41,1,4.12219112582555,-0.05922,0.3201070084,0,1,1.59342595861778,0.873350015713119,5000,1,0.3125
1,-1.17323284785524,-0.8,-0.583807146696713,-0.7094,-15.1834410536395,0.000180670415613555,0.985020362247239,8,2,0.155076323518992,-0.3365,0.08323225,0,0.037619877095809,1.82449868889817,1,5000,1,0.3125
1,-3.2,-2.11861649523501,-0.47232,-0.518170660602036,-5.53047345430354,3.93593844503579e-05,0.990170284961139,22,1,1.17149256745546,-0.0424,0.33942276,0,1,2.00745907208079,0.800430409847001,5000,2,0.3125
1,-2.11861649523501,-1.10717979681406,-0.518235292772442,-0.600475210721049,-11.9699965958338,6.71161084596734e-05,0.99390468834407,20,2,1.02976759901686,-0.08131,0.2955988161,0,0.879021879971087,2.21500408381257,0.883184445091153,5000,2,0.3125
1,-1.10717979681406,-0.8,-0.600207989919044,-0.71196,-15.3431994746967,2.87691893333716e-05,0.996895258254847,7,3,0.106847939327862,-0.3638,0.06822544,1,0.0912066728344176,2.50797451893976,1,5000,2,0.3125
2,-2.1,-1.99163655886144,-0.289357,-0.296707292212429,-13.3882669658042,6.19643591785214e-12,0.999998998999473,3,1,0.0117966621709987,-0.06783,0.3104384089,0,0.0074769194161839,5.9995656939624,1,31622,1,0.3125
2,-1.99163655886144,-0.8,-0.296787534931483,-0.69396,-2.00682338981655,0.00398859682787079,0.987621849288123,24,2,1.57774365542373,-0.3333,0.08508889,0,1,1.90734423379881,0.317913717607634,31622,1,0.3125
2,-2.1,-1.48998463785444,-0.25879,-0.478456531908617,-3.32534985370343,0.00343333470575084,0.944994390474535,13,1,0.42037212729434,-0.3601,0.07017201,0,1,1.25959301847432,0.403605561627978,31622,2,0.3125
2,-1.48998463785444,-1.12787270931445,-0.478133886622827,-0.569748204543444,-6.16138013602005,3.3972044570493e-06,0.999242908256896,7,2,0.139518232039009,-0.253,0.138384,0,0.331892204502227,3.12085149023626,1,31622,2,0.3125
2,-1.12787270931445,-0.8,-0.5700089598603,-0.70024,-0.28133617181785,1.67062156720354e-05,0.998492012632039,7,3,0.124460637329066,-0.3972,0.05189284,1,0.296072525383968,2.82160229642889,0.904112965726313,31622,2,0.3125
3,-2.25,-1.49602998517894,-0.247025,-0.354616521114966,-12.3661887022606,0.00196308689374433,0.898169131530633,16,1,0.580046718665105,-0.1427,0.23261329,0,0.936056954207413,0.992120552315639,0.445853863919569,5000,1,0.3125
3,-1.49602998517894,-0.8,-0.354647358829968,-0.72236,-16.1041334932356,0.000950735227859121,0.994046321975566,14,2,0.619670326744432,-0.5283,0.00935089,0,1,2.22521465574786,1,5000,1,0.3125
3,-2.25,-1.46205378366591,-0.24705,-0.359411130449241,-12.3661887022606,0.00196308689374433,0.898169131530633,16,1,0.633484263471041,-0.1426,0.23270976,0,1,0.992120552315639,0.310164816869246,5000,2,0.3125
3,-1.46205378366591,-1.13410777375919,-0.358977548936863,-0.559286971787885,-15.2569251583342,4.90556094461125e-05,0.998123664135776,7,2,0.147672450296646,-0.6108,0.00020164,1,0.233111473815476,2.72668942026218,0.852439880134514,5000,2,0.3125
3,-1.13410777375919,-0.8,-0.559610107815597,-0.71056,-16.9513418281369,9.01507987562114e-06,0.999367134006938,7,3,0.134413874436807,-0.4518,0.02999824,0,0.212181868102476,3.19868824043276,1,5000,2,0.3125
4,-1.25,-1.06804797816162,-0.45035,-0.506864297983002,-0.133357260483398,1.26049723578001e-05,0.989654032151189,4,1,0.0363004041275874,-0.3106,0.00367236,0,0.485230928683069,1.98522887554086,0.664192616352308,3162,1,0.125
4,-1.06804797816162,-0.8,-0.506886260433192,-0.5613,-0.453361980806409,1.850480388286e-06,0.99897419568506,6,2,0.0748105736501746,-0.203,0.002209,0,1,2.98893547845139,1,3162,1,0.125
4,-1.25,-1.06619458081693,-0.4503,-0.507573768617446,-0.133357260483398,1.26049723578001e-05,0.989654032151189,4,1,0.0370647166927101,-0.3116,0.00379456,0,1,1.98522887554086,0,3162,2,0.125
4,-1.06619458081693,-0.962620362938754,-0.507619242701801,-0.52793014682771,-0.677524950251865,0,1,2,2,0.011140151435487,-0.1961,0.00290521,0,0.300559465430315,Inf,NA,3162,2,0.125
4,-0.962620362938754,-0.8,-0.527922633016853,-0.56152,-0.341280496083681,8.48759003691672e-07,0.998456577625317,4,3,0.0275741655105323,-0.2066,0.00188356,1,0.743946479859527,2.81151520816086,0,3162,2,0.125
5,-2.1,-1.06386379047082,0.978179999999999,-0.0225203511632786,-13.4202787814018,0.00177466106109597,0.999012587468415,21,1,2.0749794375158,-0.9658,0.11614464,0,1,3.00550136530404,1,5000,1,0.3125
5,-1.06386379047082,-0.8,-0.0231515752735167,-0.8282,-13.5548677352455,0.115160534598783,0.779544152601165,6,2,0.717727066076223,-3.051,1000005.885476,0,0.345895989666047,0.656678377403011,0.218492124137359,5000,1,0.3125
5,-2.1,-1.48346740890455,0.987099999999999,0.369950876313451,-12.8969484639115,0.000487507995064229,0.998931930792466,13,1,0.760985476749947,-1.001,1000000.141376,0,1,2.9714006054757,1,5000,2,0.3125
5,-1.48346740890455,-1.07143154746161,0.369828532082926,0.00043838229933657,-14.2706905473235,0.000147182712274386,0.998254922789447,8,2,0.306222633872163,-0.8965,0.07371225,1,0.402402730706496,2.75818535301694,0.928244191622681,5000,2,0.3125
5,-1.07143154746161,-0.8,0.00108051440030632,-0.8276,-13.5548677352455,0.115160534598783,0.779544152601165,6,3,0.760386479904163,-3.053,1000005.895184,0,0.999212866915225,0.656678377403011,0.220999610820864,5000,2,0.3125
6,-1.25,-1.07721739095027,-0.444125,-0.523864174076452,-13.4658266807598,1.97981314709751e-06,0.999256897874709,4,1,0.0362121658724283,-0.4615,0.02673225,0,0.370701296247907,3.12895149659961,0.830730013205902,20000,1,0.3125
6,-1.07721739095027,-0.8,-0.523092904532197,-0.66744,-15.2984709554874,2.03113446595031e-06,0.999828804757378,6,2,0.0976855658152632,-0.5207,0.01087849,0,1,3.76650830818614,1,20000,1,0.3125
6,-1.25,-1.18999380241139,-0.4446,-0.470258650088888,-13.2062292801224,0,1,2,1,0.0042591100734268,-0.4276,0.03896676,0,0.054936967824946,Inf,NA,20000,2,0.3125
6,-1.18999380241139,-1.04692279617021,-0.469827990336502,-0.538859750847876,-14.1571219613278,1.05061057665531e-11,0.999999990984726,3,2,0.025234696786166,-0.4825,0.02030625,0,0.325494692908574,8.04502104925344,0,20000,2,0.3125
6,-1.04692279617021,-0.8,-0.539448530915706,-0.66812,-15.3540616023471,2.02432509791968e-06,0.999701842017148,5,3,0.0775272142248231,-0.5211,0.01079521,1,1,3.52555355840519,0,20000,2,0.3125
7,-1.75,-1.26730852095015,-0.24525,-0.548862940322354,-12.8587541167497,0.000373050009287311,0.995448858810465,10,1,0.325171881478514,-0.629,1.6e-05,1,1,2.34187969121636,0.892580373385318,10000,1,0.3125
7,-1.26730852095015,-0.8,-0.549687961058638,-0.72348,-0.619593455967828,6.80194552985362e-05,0.997621618923221,10,2,0.248580926552016,-0.3719,0.06405961,0,0.764460092372535,2.62371855918615,1,10000,1,0.3125
7,-1.75,-1.58560498428031,-0.236075,-0.359223306275622,-17.278014892202,1.0868733189552e-05,0.998453094343808,4,1,0.0421912265320328,-0.7491,0.01540081,0,0.216029897292456,2.81053617256081,0.990759839860496,10000,2,0.3125
7,-1.58560498428031,-1.21526167095465,-0.358399706997953,-0.570384219545559,-8.83978517135549,3.34541739128969e-05,0.998543696745771,7,2,0.182091603285072,-0.5724,0.00276676,0,0.932355695457842,2.83674818001964,1,10000,2,0.3125
7,-1.21526167095465,-0.8,-0.570523225605412,-0.72172,-0.421435550986561,3.46501759739981e-05,0.998260924924142,9,3,0.195302719951375,-0.3641,0.06806881,0,1,2.75968166910308,0.972832797969389,10000,2,0.3125
8,-1.8,-1.28820932986098,-0.26828,-0.462197484915673,-13.8610208186679,0.000190291284189853,0.995202777029343,11,1,0.299533680997364,-0.3789,0.06056521,0,1,2.31901009544376,0.573610613023525,20000,1,0.3125
8,-1.28820932986098,-0.8,-0.462602749893115,-0.69128,-2.26468246486305,4.1012142004546e-06,0.999909391242938,10,2,0.290641634479757,-0.4684,0.02452356,0,0.970313700656306,4.04282982704968,1,20000,1,0.3125
8,-1.8,-1.27772642554944,-0.26838,-0.466269457359315,-13.8610208186679,0.000190291284189853,0.995202777029343,11,1,0.311929923903324,-0.3789,0.06056521,0,1,2.31901009544376,0.545948948332558,20000,2,0.3125
8,-1.27772642554944,-1.00167620802518,-0.465824402578904,-0.597003465946434,-4.22418679503502,7.16945889956108e-07,0.999872881317949,5,2,0.0934116692611764,-0.4752,0.02244004,1,0.299463636230448,3.89579061848253,0.91715978091824,20000,2,0.3125
8,-1.00167620802518,-0.8,-0.59772978241243,-0.6904,-0.30517813469107,2.98427841678996e-07,0.999943463150911,5,3,0.0492610621111433,-0.4595,0.02739025,0,0.157923489656641,4.24766839926425,1,20000,2,0.3125
