"dataset_id","x.start","x.end","y.start","y.end","RSS","r_squared","nb_points","leftmost","segment.squared_length","slope","loss","is_best","relative_segment_squared_length","linearity","relative_linearity","n","n_breakpoints","true_gamma"
1,-1.65,-1.27959607716996,-0.391485,-0.487456656405264,0.00017388956592059,0.975933265202454,8,1,0.146409624881053,-0.2591,8.28099999999999e-05,1,0.629014758335648,1.61858282769754,0.78425876689991,20000,1,0.125
1,-1.27959607716996,-0.8,-0.487440148765324,-0.53986,2.14733974399897e-05,0.991366989342896,10,2,0.232760238040278,-0.1093,0.01979649,0,1,2.06383772296946,1,20000,1,0.125
1,-1.65,-1.52649124486476,-0.384225,-0.431590607594366,1.8939462859374e-06,0.997427635284439,3,1,0.0174979133778408,-0.3835,0.01782225,0,0.104241900320276,2.58966745614976,1,20000,2,0.125
1,-1.52649124486476,-1.2074571983576,-0.431185189549644,-0.496395748655707,5.22341835346561e-06,0.997151485721318,6,2,0.106035139849657,-0.2044,0.00207936,0,0.631692719010273,2.54538159922383,0.982899017856226,20000,2,0.125
1,-1.2074571983576,-0.8,-0.496375502732781,-0.53924,1.19729995247482e-05,0.992837412886976,9,3,0.167858733619395,-0.1052,0.02096704,0,1,2.14493008300351,0.828264678505299,20000,2,0.125
2,-2.8,-1.51709077664908,-0.309444,-0.323260932335489,0.000537512522435827,0.440864738070256,26,1,1.64604698297804,-0.01077,0.5464609929,0,1,0.252483118046089,0.115228418299762,5000,1,0.375
2,-1.51709077664908,-0.8,-0.323208049533246,-0.5914,0.000634487208791807,0.993560579361825,15,2,0.586146104250336,-0.374,0.141376,0,0.356093179788755,2.19115320483932,1,5000,1,0.375
2,-2.8,-1.70023842953239,-0.3119944,-0.316670586197628,0.00011298569019975,0.261541997864966,22,1,1.20949737859474,-0.004252,0.556140079504,0,1,0.131674199011012,0.0520535285830308,5000,2,0.375
2,-1.70023842953239,-1.4180178686091,-0.316757740484268,-0.354942182377189,2.37454261069007e-06,0.997046018189173,6,2,0.0811064966105313,-0.1353,0.37785609,0,0.0670580176905923,2.52959218318846,1,5000,2,0.375
2,-1.4180178686091,-0.8,-0.354859877700836,-0.59428,0.000353322901552548,0.994852043066659,13,3,0.439268080881877,-0.3874,0.13147876,1,0.363182333964412,2.28836509496317,0.904637953173451,5000,2,0.375
