"dataset_id","x.start","x.end","y.start","y.end","avg_log_p_value","RSS","r_squared","nb_points","leftmost","segment.squared_length","slope","loss","is_best","relative_segment_squared_length","linearity","relative_linearity","n","n_breakpoints","true_gamma"
1,-2.05,-1.51515932221493,0.137205,-0.386992348297146,-0.336216675562954,0.000714494566991129,0.997301412485837,11,1,0.560837410575351,-0.9801,0.05294601,0,0.983170184624893,2.56886349336607,1,20000,1,0.375
1,-1.51515932221493,-0.8,-0.386851894175809,-0.62972,-0.398105374003711,0.000854832911648138,0.989511937086938,15,2,0.57043777297755,-0.3396,0.16842816,0,1,1.97930471617744,0.770498207198968,20000,1,0.375
1,-2.05,-1.66051310783342,0.143049999999999,-0.254616116902073,-0.421372213535445,0.000290881517129669,0.997364980415691,8,1,0.30983837970155,-1.021,1000000.073441,0,0.722810264841529,2.57921615262382,1,20000,2,0.375
1,-1.66051310783342,-1.4238419637664,-0.25430143240215,-0.426148350109218,-0.280146869572578,7.86780903500496e-05,0.994062524842292,5,2,0.0855445935594149,-0.7261,0.000571210000000002,1,0.1995637544516,2.22639819444374,0.863207293494515,20000,2,0.375
1,-1.4238419637664,-0.8,-0.426506334540402,-0.6252,-0.376788614238593,0.000178792471832943,0.9961184379902,13,3,0.428657968449687,-0.3185,0.18619225,0,1,2.41099347138418,0.934777594708958,20000,2,0.375
2,-2.05,-1.33166678850365,-0.3656855,-0.377674481299874,-0.477377089285524,4.48978097852238e-05,0.813111820334748,15,1,0.516146338411266,-0.01669,0.0544335561,0,1,0.728418166082347,0.369389842458042,20000,1,0.125
2,-1.33166678850365,-0.8,-0.377585302727883,-0.51114,-0.187994021130577,0.000187089796444069,0.989332801859117,11,2,0.300506431161233,-0.2512,1.43999999999995e-06,1,0.582211688425831,1.97194963790886,1,20000,1,0.125
2,-2.05,-1.40249858644107,-0.366455,-0.37480776823491,-0.482612882674189,7.49350431580829e-07,0.990200937973028,13,1,0.419327849297994,-0.0129,0.05621641,0,1,2.00881549328768,0.727055140240215,20000,2,0.125
2,-1.40249858644107,-1.14053137685411,-0.374834990446373,-0.419395612797115,-0.379447583941468,3.27919499850194e-06,0.997416642147281,6,2,0.0706124679630638,-0.1701,0.00638401,0,0.168394415208238,2.58781543018114,0.936613898485446,20000,2,0.125
2,-1.14053137685411,-0.8,-0.419354470553253,-0.51518,-0.0968482276151334,9.58280202895982e-06,0.998273955167382,7,3,0.125144150715908,-0.2814,0.000985959999999999,0,0.298439874492987,2.76294792802645,1,20000,2,0.125
3,-1.85,-1.20793259633119,-0.0239750000000003,-0.477595620692016,-0.485173782649033,0.000190832510951567,0.999160330587137,13,1,0.618022218371018,-0.7065,0.00189225,1,1,3.07589166682934,1,5000,1,0.375
3,-1.20793259633119,-0.8,-0.477284413179454,-0.63956,-0.446909122939401,3.98458576394654e-05,0.998324456673638,9,2,0.192742369227457,-0.3978,0.12404484,0,0.311869643999995,2.77584433765464,0.902451919093759,5000,1,0.375
3,-1.85,-1.25123268611942,-0.0239750000000003,-0.447004107256629,-0.495112585672155,0.000190829746360094,0.99893146696273,12,1,0.537475921758103,-0.7065,0.00189225,0,1,2.97121204562689,0,5000,2,0.375
3,-1.25123268611942,-1.16917336998616,-0.446903755351527,-0.494916661221099,-0.21960976171009,0,1,2,2,0.00903897049429929,-0.5851,0.02719201,0,0.0168174426581427,Inf,NA,5000,2,0.375
3,-1.16917336998616,-0.8,-0.494656220379396,-0.63856,-0.49360884117575,1.66677392283509e-05,0.998955816100865,8,3,0.156997274896032,-0.3898,0.12974404,0,0.292101038466036,2.98122300770709,0,5000,2,0.375
4,-1.95,-1.5721491632323,0.201449999999999,-0.241013329854982,-0.588880177560061,0.000414626756302126,0.997125356902135,8,1,0.338545053112412,-1.171,1000000.177241,0,0.465766723421561,2.54141606758282,1,5000,1,0.375
4,-1.5721491632323,-0.8,-0.241576976690962,-0.60302,-0.464915141967525,0.00126013452792592,0.993276672299476,16,2,0.726855389379112,-0.4681,0.07946761,0,1,2.17241572035901,0.854805219841563,5000,1,0.375
4,-1.95,-1.70877605124844,0.20655,-0.0947387119906988,-0.506748113439655,2.70306940244286e-05,0.999312310000659,5,1,0.148963881424309,-1.249,1000000.249001,0,0.239626689125148,3.16260729129386,1,5000,2,0.375
4,-1.70877605124844,-1.51629721724723,-0.0932365406208175,-0.27118322265494,-0.972443357909179,2.60166200480416e-05,0.99755411653019,4,2,0.0687131231854199,-0.9245,0.03045025,1,0.110533493427647,2.61156423806999,0.8257630485009,5000,2,0.375
4,-1.51629721724723,-0.8,-0.271703280066276,-0.6012,-0.381744646208393,0.000977839581770184,0.993429136440876,15,3,0.621649791883202,-0.46,0.0841,0,1,2.1823775506355,0.690056446983862,5000,2,0.375
5,-3.5,-1.32582694466179,-0.48933,-0.601125978505491,-16.7832717293052,0.00103509843165562,0.978481150028051,44,1,4.73952681536869,-0.05142,0.3289940164,0,1,1.66718094230779,1,3162,1,0.3125
5,-1.32582694466179,-0.8,-0.601073454419907,-0.72764,-14.1370760950036,0.000889404876709406,0.947746602287033,11,2,0.292513066192431,-0.2407,0.14768649,0,0.0617177785014127,1.28188546483381,0.768894024819741,3162,1,0.3125
5,-3.5,-1.77527483046538,-0.493085,-0.571887692996037,-16.7530712650399,0.000322860620663446,0.983030901719509,35,1,2.98088677484965,-0.04569,0.3356000761,0,1,1.77034123500771,0.729350573601497,3162,2,0.3125
5,-1.77527483046538,-1.06789821655251,-0.571926472597694,-0.645352165121849,-16.7042175644027,0.000103213924238061,0.983582299268261,14,2,0.505773006233485,-0.1038,0.27164944,0,0.169671995092465,1.78468766508735,0.73526105955799,3162,2,0.3125
5,-1.06789821655251,-0.8,-0.645294285799029,-0.7408,-12.2925421594058,2.08108291058346e-05,0.996261342791603,6,3,0.0808907958770548,-0.3565,0.07209225,1,0.0271364872223752,2.42728435279876,1,3162,2,0.3125
6,-3.35,-1.21651797733506,-0.438964,-0.541712494211544,-11.7475062264301,0.00134940997408357,0.966052991681909,43,1,4.56230279409723,-0.04816,0.3327443856,0,1,1.46919849320068,0.971814614846141,5000,1,0.3125
6,-1.21651797733506,-0.8,-0.541813355116792,-0.6726,-16.9886014866988,0.000470010994712472,0.969225530447627,9,2,0.190592371923094,-0.314,0.096721,0,0.0417754762287337,1.51180942409812,1,5000,1,0.3125
